Patch My PC Supported Products - Report Created on 02/28/2022 20:10:20 - See: https://patchmypc.com/supported-products-scup-catalog
"Product","Vendor"
"Tableau Prep Builder (x64)","Tableau Software"
"Tableau Reader (x64)","Tableau Software"
"Tableau Reader (x86)","Tableau Software"
"Tableau Reader 10 (x64)","Tableau Software"
"Tableau Reader 10 (x86)","Tableau Software"
"Tableau Reader 18 (x64)","Tableau Software"
"Tableau Reader 19 (x64)","Tableau Software"
"Tableau Reader 20 (x64)","Tableau Software"
"Tableau Reader 2021 (x64)","Tableau Software"
"TeamViewer 11","TeamViewer"
"TeamViewer 12","TeamViewer"
"TeamViewer 13","TeamViewer"
"TeamViewer 14","TeamViewer"
"TeamViewer 15 (x64) - EXE Install","TeamViewer"
"TeamViewer 15 (x64) - MSI Install","TeamViewer"
"TeamViewer 15 (x86) - EXE Install","TeamViewer"
"TeamViewer 15 (x86) - MSI Install","TeamViewer"
"TeamViewer Host 15 (x86) - EXE Install","TeamViewer"
"TeamViewer Host 15 (x86) - MSI Install","TeamViewer"
"Camtasia 2018","TechSmith Corporation"
"Camtasia 2019 - EXE Install","TechSmith Corporation"
"Camtasia 2019 - MSI Install","TechSmith Corporation"
"Camtasia 2020 - EXE Install","TechSmith Corporation"
"Camtasia 2020 - MSI Install","TechSmith Corporation"
"Camtasia 2021 - EXE Install","TechSmith Corporation"
"Camtasia 2021 - MSI Install","TechSmith Corporation"
"Snagit 2018 (x64)","TechSmith Corporation"
"Snagit 2018 (x86)","TechSmith Corporation"
"Snagit 2019 (x64)","TechSmith Corporation"
"Snagit 2019 (x86)","TechSmith Corporation"
"Snagit 2020 (x64) - EXE Install","TechSmith Corporation"
"Snagit 2020 (x64) - MSI Install","TechSmith Corporation"
"Snagit 2020 (x86) - EXE Install","TechSmith Corporation"
"Snagit 2020 (x86) - MSI Install","TechSmith Corporation"
"Snagit 2021 (x64) - EXE Install","TechSmith Corporation"
"Snagit 2021 (x64) - MSI Install","TechSmith Corporation"
"Snagit 2021 (x86) - EXE Install","TechSmith Corporation"
"Snagit 2021 (x86) - MSI Install","TechSmith Corporation"
"Snagit 2022 (x64) - EXE Install","TechSmith Corporation"
"Snagit 2022 (x64) - MSI Install","TechSmith Corporation"
"Progress TestStudio 2017","Telerik Inc."
"Progress TestStudio 2018","Telerik Inc."
"Progress TestStudio 2019","Telerik Inc."
"Nessus Agent (x64)","Tenable, Inc."
"Nessus Agent (x86)","Tenable, Inc."
"LibreOffice (x64)","The Document Foundation"
"LibreOffice (x86)","The Document Foundation"
"Gimp","The GIMP Team"
"Git (x64)","The Git Development Community"
"Git (x86)","The Git Development Community"
